     chi_3_2=  0.000000000000000E+00  0.435918469041793E-06  0.145825352568949E-06
     chi_3_2=  0.100000000000000E+00  0.435919017933995E-06  0.145853284296830E-06
     chi_3_2=  0.200000000000000E+00  0.435919567123645E-06  0.145881216104703E-06
     chi_3_2=  0.300000000000000E+00  0.435920116610747E-06  0.145909147992631E-06
     chi_3_2=  0.400000000000000E+00  0.435920666395302E-06  0.145937079960673E-06
     chi_3_2=  0.500000000000000E+00  0.435921216477310E-06  0.145965012008892E-06
     chi_3_2=  0.600000000000000E+00  0.435921766856773E-06  0.145992944137349E-06
     chi_3_2=  0.700000000000000E+00  0.435922317533690E-06  0.146020876346104E-06
     chi_3_2=  0.800000000000000E+00  0.435922868508066E-06  0.146048808635220E-06
     chi_3_2=  0.900000000000000E+00  0.435923419779903E-06  0.146076741004758E-06
     chi_3_2=  0.100000000000000E+01  0.435923971349198E-06  0.146104673454778E-06
     chi_3_2=  0.110000000000000E+01  0.435924523215956E-06  0.146132605985343E-06
     chi_3_2=  0.120000000000000E+01  0.435925075380178E-06  0.146160538596514E-06
     chi_3_2=  0.130000000000000E+01  0.435925627841863E-06  0.146188471288352E-06
     chi_3_2=  0.140000000000000E+01  0.435926180601017E-06  0.146216404060919E-06
     chi_3_2=  0.150000000000000E+01  0.435926733657636E-06  0.146244336914275E-06
     chi_3_2=  0.160000000000000E+01  0.435927287011725E-06  0.146272269848483E-06
     chi_3_2=  0.170000000000000E+01  0.435927840663283E-06  0.146300202863602E-06
     chi_3_2=  0.180000000000000E+01  0.435928394612315E-06  0.146328135959696E-06
     chi_3_2=  0.190000000000000E+01  0.435928948858820E-06  0.146356069136825E-06
     chi_3_2=  0.200000000000000E+01  0.435929503402800E-06  0.146384002395051E-06
     chi_3_2=  0.210000000000000E+01  0.435930058244255E-06  0.146411935734434E-06
     chi_3_2=  0.220000000000000E+01  0.435930613383189E-06  0.146439869155037E-06
     chi_3_2=  0.230000000000000E+01  0.435931168819601E-06  0.146467802656920E-06
     chi_3_2=  0.240000000000000E+01  0.435931724553492E-06  0.146495736240144E-06
     chi_3_2=  0.250000000000000E+01  0.435932280584868E-06  0.146523669904773E-06
     chi_3_2=  0.260000000000000E+01  0.435932836913728E-06  0.146551603650866E-06
