     chi_1_2=  0.000000000000000E+00  -.782576642381708E-07  -.172226227991111E-05
     chi_2_2=  0.000000000000000E+00  0.760044514652528E-03  -.117348138237304E-05
     chi_3_2=  0.000000000000000E+00  0.435918469041793E-06  0.145825352568949E-06
     chi_1_2=  0.100000000000000E+00  -.782057736699805E-07  -.169189393216234E-05
     chi_2_2=  0.100000000000000E+00  0.760044516250479E-03  -.117347879606014E-05
     chi_3_2=  0.100000000000000E+00  0.435919017933995E-06  0.145853284296830E-06
     chi_1_2=  0.200000000000000E+00  -.781538833944575E-07  -.166152558553829E-05
     chi_2_2=  0.200000000000000E+00  0.760044518366809E-03  -.117347621158870E-05
     chi_3_2=  0.200000000000000E+00  0.435919567123645E-06  0.145881216104703E-06
     chi_1_2=  0.300000000000000E+00  -.781019934113611E-07  -.163115723997249E-05
     chi_2_2=  0.300000000000000E+00  0.760044521001525E-03  -.117347362895872E-05
     chi_3_2=  0.300000000000000E+00  0.435920116610747E-06  0.145909147992631E-06
     chi_1_2=  0.400000000000000E+00  -.780501037204506E-07  -.160078889539848E-05
     chi_2_2=  0.400000000000000E+00  0.760044524154627E-03  -.117347104817020E-05
     chi_3_2=  0.400000000000000E+00  0.435920666395302E-06  0.145937079960673E-06
     chi_1_2=  0.500000000000000E+00  -.779982143214834E-07  -.157042055174978E-05
     chi_2_2=  0.500000000000000E+00  0.760044527826112E-03  -.117346846922311E-05
     chi_3_2=  0.500000000000000E+00  0.435921216477310E-06  0.145965012008892E-06
     chi_1_2=  0.600000000000000E+00  -.779463252142196E-07  -.154005220895991E-05
     chi_2_2=  0.600000000000000E+00  0.760044532015980E-03  -.117346589211745E-05
     chi_3_2=  0.600000000000000E+00  0.435921766856773E-06  0.145992944137349E-06
     chi_1_2=  0.700000000000000E+00  -.778944363984160E-07  -.150968386696240E-05
     chi_2_2=  0.700000000000000E+00  0.760044536724228E-03  -.117346331685320E-05
     chi_3_2=  0.700000000000000E+00  0.435922317533690E-06  0.146020876346104E-06
     chi_1_2=  0.800000000000000E+00  -.778425478738334E-07  -.147931552569077E-05
     chi_2_2=  0.800000000000000E+00  0.760044541950862E-03  -.117346074343035E-05
     chi_3_2=  0.800000000000000E+00  0.435922868508066E-06  0.146048808635220E-06
     chi_1_2=  0.900000000000000E+00  -.777906596402294E-07  -.144894718507856E-05
     chi_2_2=  0.900000000000000E+00  0.760044547695880E-03  -.117345817184891E-05
     chi_3_2=  0.900000000000000E+00  0.435923419779903E-06  0.146076741004758E-06
     chi_1_2=  0.100000000000000E+01  -.777387716973627E-07  -.141857884505928E-05
     chi_2_2=  0.100000000000000E+01  0.760044553959281E-03  -.117345560210884E-05
     chi_3_2=  0.100000000000000E+01  0.435923971349198E-06  0.146104673454778E-06
     chi_1_2=  0.110000000000000E+01  -.776868840449926E-07  -.138821050556648E-05
     chi_2_2=  0.110000000000000E+01  0.760044560741066E-03  -.117345303421014E-05
     chi_3_2=  0.110000000000000E+01  0.435924523215956E-06  0.146132605985343E-06
     chi_1_2=  0.120000000000000E+01  -.776349966828775E-07  -.135784216653366E-05
     chi_2_2=  0.120000000000000E+01  0.760044568041234E-03  -.117345046815281E-05
     chi_3_2=  0.120000000000000E+01  0.435925075380178E-06  0.146160538596514E-06
     chi_1_2=  0.130000000000000E+01  -.775831096107754E-07  -.132747382789436E-05
     chi_2_2=  0.130000000000000E+01  0.760044575859786E-03  -.117344790393682E-05
     chi_3_2=  0.130000000000000E+01  0.435925627841863E-06  0.146188471288352E-06
     chi_1_2=  0.140000000000000E+01  -.775312228284470E-07  -.129710548958212E-05
     chi_2_2=  0.140000000000000E+01  0.760044584196724E-03  -.117344534156218E-05
     chi_3_2=  0.140000000000000E+01  0.435926180601017E-06  0.146216404060919E-06
     chi_1_2=  0.150000000000000E+01  -.774793363356488E-07  -.126673715153044E-05
     chi_2_2=  0.150000000000000E+01  0.760044593052041E-03  -.117344278102885E-05
     chi_3_2=  0.150000000000000E+01  0.435926733657636E-06  0.146244336914275E-06
     chi_1_2=  0.160000000000000E+01  -.774274501321411E-07  -.123636881367286E-05
     chi_2_2=  0.160000000000000E+01  0.760044602425747E-03  -.117344022233685E-05
     chi_3_2=  0.160000000000000E+01  0.435927287011725E-06  0.146272269848483E-06
     chi_1_2=  0.170000000000000E+01  -.773755642176817E-07  -.120600047594291E-05
     chi_2_2=  0.170000000000000E+01  0.760044612317832E-03  -.117343766548616E-05
     chi_3_2=  0.170000000000000E+01  0.435927840663283E-06  0.146300202863602E-06
     chi_1_2=  0.180000000000000E+01  -.773236785920304E-07  -.117563213827411E-05
     chi_2_2=  0.180000000000000E+01  0.760044622728304E-03  -.117343511047675E-05
     chi_3_2=  0.180000000000000E+01  0.435928394612315E-06  0.146328135959696E-06
     chi_1_2=  0.190000000000000E+01  -.772717932549444E-07  -.114526380059999E-05
     chi_2_2=  0.190000000000000E+01  0.760044633657159E-03  -.117343255730863E-05
     chi_3_2=  0.190000000000000E+01  0.435928948858820E-06  0.146356069136825E-06
     chi_1_2=  0.200000000000000E+01  -.772199082061840E-07  -.111489546285408E-05
     chi_2_2=  0.200000000000000E+01  0.760044645104399E-03  -.117343000598179E-05
     chi_3_2=  0.200000000000000E+01  0.435929503402800E-06  0.146384002395051E-06
     chi_1_2=  0.210000000000000E+01  -.771680234455068E-07  -.108452712496989E-05
     chi_2_2=  0.210000000000000E+01  0.760044657070021E-03  -.117342745649621E-05
     chi_3_2=  0.210000000000000E+01  0.435930058244255E-06  0.146411935734434E-06
