     chi_2_2=  0.000000000000000E+00  0.760044514652528E-03  -.117348138237304E-05
     chi_2_2=  0.100000000000000E+00  0.760044516250479E-03  -.117347879606014E-05
     chi_2_2=  0.200000000000000E+00  0.760044518366809E-03  -.117347621158870E-05
     chi_2_2=  0.300000000000000E+00  0.760044521001525E-03  -.117347362895872E-05
     chi_2_2=  0.400000000000000E+00  0.760044524154627E-03  -.117347104817020E-05
     chi_2_2=  0.500000000000000E+00  0.760044527826112E-03  -.117346846922311E-05
     chi_2_2=  0.600000000000000E+00  0.760044532015980E-03  -.117346589211745E-05
     chi_2_2=  0.700000000000000E+00  0.760044536724228E-03  -.117346331685320E-05
     chi_2_2=  0.800000000000000E+00  0.760044541950862E-03  -.117346074343035E-05
     chi_2_2=  0.900000000000000E+00  0.760044547695880E-03  -.117345817184891E-05
     chi_2_2=  0.100000000000000E+01  0.760044553959281E-03  -.117345560210884E-05
     chi_2_2=  0.110000000000000E+01  0.760044560741066E-03  -.117345303421014E-05
     chi_2_2=  0.120000000000000E+01  0.760044568041234E-03  -.117345046815281E-05
     chi_2_2=  0.130000000000000E+01  0.760044575859786E-03  -.117344790393682E-05
     chi_2_2=  0.140000000000000E+01  0.760044584196724E-03  -.117344534156218E-05
     chi_2_2=  0.150000000000000E+01  0.760044593052041E-03  -.117344278102885E-05
     chi_2_2=  0.160000000000000E+01  0.760044602425747E-03  -.117344022233685E-05
     chi_2_2=  0.170000000000000E+01  0.760044612317832E-03  -.117343766548616E-05
     chi_2_2=  0.180000000000000E+01  0.760044622728304E-03  -.117343511047675E-05
     chi_2_2=  0.190000000000000E+01  0.760044633657159E-03  -.117343255730863E-05
     chi_2_2=  0.200000000000000E+01  0.760044645104399E-03  -.117343000598179E-05
     chi_2_2=  0.210000000000000E+01  0.760044657070021E-03  -.117342745649621E-05
     chi_2_2=  0.220000000000000E+01  0.760044669554029E-03  -.117342490885188E-05
     chi_2_2=  0.230000000000000E+01  0.760044682556420E-03  -.117342236304879E-05
     chi_2_2=  0.240000000000000E+01  0.760044696077190E-03  -.117341981908692E-05
     chi_2_2=  0.250000000000000E+01  0.760044710116353E-03  -.117341727696628E-05
     chi_2_2=  0.260000000000000E+01  0.760044724673898E-03  -.117341473668685E-05
     chi_2_2=  0.270000000000000E+01  0.760044739749824E-03  -.117341219824860E-05
     chi_2_2=  0.280000000000000E+01  0.760044755344138E-03  -.117340966165155E-05
     chi_2_2=  0.290000000000000E+01  0.760044771456833E-03  -.117340712689568E-05
     chi_2_2=  0.300000000000000E+01  0.760044788087916E-03  -.117340459398097E-05
     chi_2_2=  0.310000000000000E+01  0.760044805237382E-03  -.117340206290741E-05
     chi_2_2=  0.320000000000000E+01  0.760044822905234E-03  -.117339953367500E-05
     chi_2_2=  0.330000000000000E+01  0.760044841091469E-03  -.117339700628371E-05
     chi_2_2=  0.340000000000000E+01  0.760044859796089E-03  -.117339448073355E-05
     chi_2_2=  0.350000000000000E+01  0.760044879019095E-03  -.117339195702451E-05
     chi_2_2=  0.360000000000000E+01  0.760044898760485E-03  -.117338943515656E-05
     chi_2_2=  0.370000000000000E+01  0.760044919020264E-03  -.117338691512971E-05
     chi_2_2=  0.380000000000000E+01  0.760044939798422E-03  -.117338439694392E-05
     chi_2_2=  0.390000000000000E+01  0.760044961094968E-03  -.117338188059921E-05
     chi_2_2=  0.400000000000000E+01  0.760044982909899E-03  -.117337936609556E-05
     chi_2_2=  0.410000000000000E+01  0.760045005243216E-03  -.117337685343295E-05
     chi_2_2=  0.420000000000000E+01  0.760045028094917E-03  -.117337434261138E-05
     chi_2_2=  0.430000000000000E+01  0.760045051465007E-03  -.117337183363084E-05
     chi_2_2=  0.440000000000000E+01  0.760045075353479E-03  -.117336932649131E-05
     chi_2_2=  0.450000000000000E+01  0.760045099760340E-03  -.117336682119279E-05
     chi_2_2=  0.460000000000000E+01  0.760045124685585E-03  -.117336431773526E-05
     chi_2_2=  0.470000000000000E+01  0.760045150129217E-03  -.117336181611872E-05
     chi_2_2=  0.480000000000000E+01  0.760045176091235E-03  -.117335931634315E-05
     chi_2_2=  0.490000000000000E+01  0.760045202571638E-03  -.117335681840854E-05
     chi_2_2=  0.500000000000000E+01  0.760045229570428E-03  -.117335432231488E-05
     chi_2_2=  0.510000000000000E+01  0.760045257087603E-03  -.117335182806216E-05
     chi_2_2=  0.520000000000000E+01  0.760045285123168E-03  -.117334933565038E-05
     chi_2_2=  0.530000000000000E+01  0.760045313677117E-03  -.117334684507951E-05
     chi_2_2=  0.540000000000000E+01  0.760045342749454E-03  -.117334435634956E-05
     chi_2_2=  0.550000000000000E+01  0.760045372340180E-03  -.117334186946051E-05
     chi_2_2=  0.560000000000000E+01  0.760045402449291E-03  -.117333938441234E-05
     chi_2_2=  0.570000000000000E+01  0.760045433076788E-03  -.117333690120505E-05
     chi_2_2=  0.580000000000000E+01  0.760045464222675E-03  -.117333441983864E-05
     chi_2_2=  0.590000000000000E+01  0.760045495886948E-03  -.117333194031307E-05
     chi_2_2=  0.599999999999999E+01  0.760045528069607E-03  -.117332946262836E-05
     chi_2_2=  0.609999999999999E+01  0.760045560770657E-03  -.117332698678449E-05
     chi_2_2=  0.619999999999999E+01  0.760045593990094E-03  -.117332451278144E-05
     chi_2_2=  0.629999999999999E+01  0.760045627727920E-03  -.117332204061921E-05
     chi_2_2=  0.639999999999999E+01  0.760045661984130E-03  -.117331957029778E-05
     chi_2_2=  0.649999999999999E+01  0.760045696758731E-03  -.117331710181715E-05
